target_mlux,formation_name,current_ma,pwm_percent,estimated_mlux,error_mlux,lower_measured_mlux,lower_pwm_percent,upper_measured_mlux,upper_pwm_percent,method
13275,formation_8_highest_light,14,17,13270.6,4.4,11691.0,15,15640.0,20,interpolated
13300,headlight_all_leds,13,11,13312.4,12.4,12059.0,10,18326.0,15,interpolated
13325,formation_8_highest_light,4,60,13329.0,4.0,12204.0,55,13329.0,60,interpolated
13350,headlight_all_leds,4,36,13344.8,5.2,12976.0,35,14820.0,40,interpolated
13375,formation_8_highest_light,15,16,13375.4,0.4,12525.0,15,16777.0,20,interpolated
13400,formation_8_highest_light,15,16,13375.4,24.6,12525.0,15,16777.0,20,interpolated
13425,formation_8_highest_light,19,13,13435.8,10.8,10107.0,10,15655.0,15,interpolated
13450,formation_8_highest_light,5,48,13455.8,5.8,12605.0,45,14023.0,50,interpolated
13475,formation_8_highest_light,7,34,13486.0,11.0,11894.0,30,13884.0,35,interpolated
13500,formation_8_highest_light,21,12,13495.8,4.2,11037.0,10,17184.0,15,interpolated
13525,formation_8_highest_light,6,40,13546.0,21.0,11835.0,35,13546.0,40,interpolated
13550,formation_8_highest_light,4,61,13552.2,2.2,13329.0,60,14445.0,65,interpolated
13575,headlight_all_leds,11,13,13575.6,0.6,10308.0,10,15754.0,15,interpolated
13600,headlight_all_leds,6,24,13599.2,0.8,11320.0,20,14169.0,25,interpolated
13625,formation_8_highest_light,27,10,13620.0,5.0,13620.0,10,21398.0,15,interpolated
13650,formation_8_highest_light,27,10,13620.0,30.0,13620.0,10,21398.0,15,interpolated
13675,formation_8_highest_light,24,11,13693.4,18.4,12291.0,10,19303.0,15,interpolated
13700,formation_8_highest_light,24,11,13693.4,6.6,12291.0,10,19303.0,15,interpolated
13725,formation_8_highest_light,10,24,13728.2,3.2,11421.0,20,14305.0,25,interpolated
13750,headlight_all_leds,8,18,13749.0,1.0,11421.0,15,15301.0,20,interpolated
13775,formation_8_highest_light,4,62,13775.4,0.4,13329.0,60,14445.0,65,interpolated
13800,headlight_all_leds,15,10,13780.0,20.0,13780.0,10,21042.0,15,interpolated
13825,formation_8_highest_light,11,22,13829.6,4.6,12560.0,20,15734.0,25,interpolated
13850,formation_8_highest_light,13,19,13853.6,3.6,10916.0,15,14588.0,20,interpolated
13875,formation_8_highest_light,7,35,13884.0,9.0,11894.0,30,13884.0,35,interpolated
13900,formation_8_highest_light,9,27,13888.6,11.4,12851.0,25,15445.0,30,interpolated
13925,headlight_all_leds,7,21,13947.0,22.0,13281.0,20,16611.0,25,interpolated
13950,headlight_all_leds,7,21,13947.0,3.0,13281.0,20,16611.0,25,interpolated
13975,formation_8_highest_light,4,63,13998.6,23.6,13329.0,60,14445.0,65,interpolated
14000,formation_8_highest_light,4,63,13998.6,1.4,13329.0,60,14445.0,65,interpolated
14025,formation_8_highest_light,5,50,14023.0,2.0,14023.0,50,15427.0,55,interpolated
14050,formation_8_highest_light,14,18,14060.4,10.4,11691.0,15,15640.0,20,interpolated
14075,headlight_all_leds,4,38,14082.4,7.4,12976.0,35,14820.0,40,interpolated
14100,formation_8_highest_light,20,13,14093.8,6.2,10579.0,10,16437.0,15,interpolated
14125,formation_8_highest_light,17,15,14115.0,10.0,14115.0,15,18907.0,20,interpolated
14150,formation_8_highest_light,8,31,14168.2,18.2,13711.0,30,15997.0,35,interpolated
14175,headlight_all_leds,6,25,14169.0,6.0,14169.0,25,17000.0,30,interpolated
14200,formation_8_highest_light,4,64,14221.8,21.8,13329.0,60,14445.0,65,interpolated
14225,formation_8_highest_light,15,17,14225.8,0.8,12525.0,15,16777.0,20,interpolated
14250,formation_8_highest_light,25,11,14258.4,8.4,12817.0,10,20024.0,15,interpolated
14275,formation_8_highest_light,7,36,14284.0,9.0,13884.0,35,15884.0,40,interpolated
14300,formation_8_highest_light,5,51,14303.8,3.8,14023.0,50,15427.0,55,interpolated
14325,headlight_all_leds,10,15,14324.0,1.0,14324.0,15,19158.0,20,interpolated
14350,headlight_all_leds,10,15,14324.0,26.0,14324.0,15,19158.0,20,interpolated
14375,formation_8_highest_light,12,21,14397.2,22.2,13708.0,20,17154.0,25,interpolated
14400,formation_8_highest_light,12,21,14397.2,2.8,13708.0,20,17154.0,25,interpolated
14425,formation_8_highest_light,9,28,14407.4,17.6,12851.0,25,15445.0,30,interpolated
14450,headlight_all_leds,4,39,14451.2,1.2,12976.0,35,14820.0,40,interpolated
14475,formation_8_highest_light,11,23,14464.4,10.6,12560.0,20,15734.0,25,interpolated
14500,headlight_all_leds,8,19,14525.0,25.0,11421.0,15,15301.0,20,interpolated
14525,headlight_all_leds,8,19,14525.0,0.0,11421.0,15,15301.0,20,interpolated
14550,formation_8_highest_light,19,14,14545.4,4.6,10107.0,10,15655.0,15,interpolated
14575,formation_8_highest_light,6,43,14568.4,6.6,13546.0,40,15250.0,45,interpolated
14600,headlight_all_leds,9,17,14608.2,8.2,12865.0,15,17223.0,20,interpolated
14625,formation_8_highest_light,8,32,14625.4,0.4,13711.0,30,15997.0,35,interpolated
14650,headlight_all_leds,16,10,14643.0,7.0,14643.0,10,22449.0,15,interpolated
14675,formation_8_highest_light,30,10,14674.0,1.0,14674.0,10,23294.0,15,interpolated
14700,formation_8_highest_light,7,37,14684.0,16.0,13884.0,35,15884.0,40,interpolated
14725,formation_8_highest_light,21,13,14725.2,0.2,11037.0,10,17184.0,15,interpolated
14750,headlight_all_leds,6,26,14735.2,14.8,14169.0,25,17000.0,30,interpolated
14775,headlight_all_leds,12,13,14792.6,17.6,11219.0,10,17175.0,15,interpolated
14800,headlight_all_leds,12,13,14792.6,7.4,11219.0,10,17175.0,15,interpolated
14825,headlight_all_leds,4,40,14820.0,5.0,14820.0,40,16665.0,45,interpolated
14850,formation_8_highest_light,14,19,14850.2,0.2,11691.0,15,15640.0,20,interpolated
14875,formation_8_highest_light,10,26,14879.0,4.0,14305.0,25,17175.0,30,interpolated
14900,formation_8_highest_light,4,67,14893.4,6.6,14445.0,65,15566.0,70,interpolated
