target_mlux,formation_name,current_ma,pwm_percent,estimated_mlux,error_mlux,lower_measured_mlux,lower_pwm_percent,upper_measured_mlux,upper_pwm_percent,method
0,headlight_formation_lowest,0,0,0,0,0,0,0,0,interpolated
1,headlight_formation_lowest,5,11,0.999,0.001,0.885,10,1.454,15,interpolated
2,headlight_formation_lowest,48,10,1.999,0.001,1.999,10,3.219,15,interpolated
3,headlight_formation_lowest,16,15,3.0,0.0,2.065,10,3.0,15,interpolated
4,headlight_formation_lowest,48,18,4.0,0.0,3.219,15,4.52,20,interpolated
5,headlight_formation_lowest,15,25,5.001,0.001,3.604,20,5.001,25,interpolated
6,formation_3_midlow_light,37,14,6.0,0.0,4.028,10,6.493,15,interpolated
7,headlight_formation_lowest,14,32,7.002,0.002,5.759,30,8.867,35,interpolated
8,headlight_formation_lowest,43,31,8.005,0.005,7.084,30,11.687,35,interpolated
9,formation_4_mid_light,23,13,9.0,0.0,6.567,10,10.622,15,interpolated
10,headlight_formation_lowest,30,33,10.002,0.002,7.479,30,11.684,35,interpolated
11,headlight_formation_lowest,48,34,11.001,0.001,7.215,30,11.947,35,interpolated
12,formation_5_midhigh_light,17,12,11.999,0.001,9.588,10,15.615,15,interpolated
13,formation_4_mid_light,38,16,13.001,0.001,12.017,15,16.935,20,interpolated
14,formation_4_mid_light,7,27,13.998,0.002,12.774,25,15.833,30,interpolated
15,formation_3_midlow_light,44,30,14.996,0.004,14.996,30,24.907,35,interpolated
16,headlight_formation_lowest,9,48,16.001,0.001,13.901,45,17.401,50,interpolated
17,formation_4_mid_light,28,21,17.0,0.0,16.046,20,20.814,25,interpolated
18,headlight_formation_lowest,7,54,18.002,0.002,14.852,50,34.54,75,interpolated
19,headlight_formation_lowest,5,64,18.998,0.002,16.878,60,19.528,65,interpolated
20,headlight_formation_lowest,4,71,20.002,0.002,19.439,70,22.254,75,interpolated
21,formation_6_high_light,38,10,20.993,0.007,20.993,10,33.845,15,interpolated
22,formation_4_mid_light,50,24,22.002,0.002,17.829,20,23.045,25,interpolated
23,headlight_formation_lowest,23,46,23.003,0.003,21.881,45,27.49,50,interpolated
24,formation_4_mid_light,23,30,24.007,0.007,19.509,25,24.007,30,interpolated
25,formation_3_midlow_light,45,35,25.003,0.003,15.056,30,25.003,35,interpolated
26,formation_6_high_light,4,23,26.0,0.0,17.169,15,28.208,25,interpolated
27,formation_6_high_light,46,12,27.0,0.0,21.718,10,34.924,15,interpolated
28,formation_3_midlow_light,6,49,28.001,0.001,23.348,45,29.164,50,interpolated
29,formation_3_midlow_light,8,46,29.003,0.003,27.597,45,34.626,50,interpolated
30,formation_3_midlow_light,39,37,30.002,0.002,24.332,35,38.506,40,interpolated
31,formation_7_higher_light,45,10,30.998,0.002,30.998,10,49.784,15,interpolated
32,formation_6_high_light,23,16,32.003,0.003,29.554,15,41.8,20,interpolated
33,formation_5_midhigh_light,35,24,33.003,0.003,26.649,20,34.591,25,interpolated
34,formation_3_midlow_light,46,38,34.0,0.0,25.116,35,39.922,40,interpolated
35,headlight_formation_lowest,50,51,34.998,0.002,33.549,50,40.796,55,interpolated
36,formation_5_midhigh_light,46,25,36.0,0.0,27.788,20,36.0,25,interpolated
37,headlight_formation_lowest,46,53,37.001,0.001,32.749,50,39.835,55,interpolated
38,formation_7_higher_light,41,12,37.998,0.002,30.569,10,49.142,15,interpolated
39,formation_6_high_light,11,23,39.005,0.005,32.94,20,43.048,25,interpolated
40,headlight_formation_lowest,29,58,40.0,0.0,36.243,55,42.504,60,interpolated
41,formation_7_higher_light,21,15,41.0,0.0,25.252,10,41.0,15,interpolated
42,formation_3_midlow_light,19,45,42.008,0.008,30.97,40,42.008,45,interpolated
43,formation_6_high_light,43,18,43.005,0.005,34.543,15,48.646,20,interpolated
44,formation_3_midlow_light,13,49,44.002,0.002,36.374,45,45.909,50,interpolated
45,formation_3_midlow_light,42,42,45.002,0.002,39.173,40,53.746,45,interpolated
46,headlight_formation_lowest,42,60,45.995,0.005,45.995,60,54.314,65,interpolated
47,formation_7_higher_light,32,15,46.998,0.002,46.998,15,66.199,20,interpolated
48,formation_4_mid_light,17,38,48.008,0.008,35.965,35,56.036,40,interpolated
49,formation_4_mid_light,6,47,48.998,0.002,44.534,45,55.695,50,interpolated
50,formation_3_midlow_light,50,43,49.996,0.004,40.833,40,56.105,45,interpolated
51,headlight_formation_lowest,33,65,51.004,0.004,43.21,60,51.004,65,interpolated
52,formation_3_midlow_light,4,78,51.988,0.012,48.293,75,54.452,80,interpolated
53,formation_5_midhigh_light,13,35,52.99,0.01,52.99,35,82.132,40,interpolated
54,headlight_formation_lowest,27,67,54.001,0.001,49.132,65,61.304,70,interpolated
55,headlight_formation_lowest,12,79,54.999,0.001,48.933,75,56.516,80,interpolated
56,formation_6_high_light,37,23,56.001,0.001,47.559,20,61.629,25,interpolated
57,formation_3_midlow_light,23,50,57.007,0.007,44.988,45,57.007,50,interpolated
58,formation_5_midhigh_light,9,38,58.001,0.001,44.196,35,67.205,40,interpolated
59,formation_6_high_light,38,24,59.0,0.0,47.733,20,61.817,25,interpolated
60,headlight_formation_lowest,20,73,60.002,0.002,53.765,70,64.16,75,interpolated
61,formation_3_midlow_light,10,63,61.0,0.0,55.39,60,64.74,65,interpolated
62,headlight_formation_lowest,9,92,62.0,0.0,59.528,90,65.707,95,interpolated
63,formation_3_midlow_light,15,57,63.0,0.0,58.893,55,69.16,60,interpolated
64,formation_3_midlow_light,17,56,64.0,0.0,61.841,55,72.636,60,interpolated
65,formation_4_mid_light,11,46,64.999,0.001,61.774,45,77.898,50,interpolated
66,formation_4_mid_light,7,52,65.999,0.001,60.975,50,73.535,55,interpolated
67,formation_4_mid_light,14,44,67.007,0.007,52.221,40,70.703,45,interpolated
68,formation_7_higher_light,37,20,67.994,0.006,67.994,20,87.918,25,interpolated
69,headlight_formation_lowest,43,70,69.001,0.001,54.583,65,69.001,70,interpolated
70,formation_3_midlow_light,33,52,70.017,0.017,64.472,50,78.335,55,interpolated
71,headlight_formation_lowest,16,82,70.993,0.007,67.277,80,76.568,85,interpolated
72,formation_3_midlow_light,6,78,72.01,0.01,66.396,75,75.753,80,interpolated
73,formation_4_mid_light,41,40,73.001,0.001,45.734,35,73.001,40,interpolated
74,formation_3_midlow_light,23,57,74.007,0.007,69.14,55,81.308,60,interpolated
75,headlight_formation_lowest,26,76,74.985,0.015,72.578,75,84.615,80,interpolated
76,formation_6_high_light,38,30,75.99,0.01,75.99,30,128.57,35,interpolated
77,formation_7_higher_light,23,25,77.005,0.005,59.304,20,77.005,25,interpolated
78,headlight_formation_lowest,44,73,77.993,0.007,69.333,70,83.767,75,interpolated
79,formation_4_mid_light,9,53,78.989,0.011,70.218,50,84.837,55,interpolated
80,formation_3_midlow_light,20,61,80.002,0.002,77.292,60,90.841,65,interpolated
81,headlight_formation_lowest,19,84,81.0,0.0,72.861,80,83.035,85,interpolated
82,headlight_formation_lowest,22,82,81.982,0.018,77.632,80,88.507,85,interpolated
83,formation_4_mid_light,39,42,83.016,0.016,72.257,40,99.154,45,interpolated
84,formation_3_midlow_light,38,56,84.004,0.004,81.138,55,95.47,60,interpolated
85,headlight_formation_lowest,41,76,84.997,0.003,82.193,75,96.212,80,interpolated
86,formation_4_mid_light,7,60,85.998,0.002,85.998,60,100.01,65,interpolated
87,headlight_formation_lowest,26,81,87.002,0.002,84.615,80,96.548,85,interpolated
88,headlight_formation_lowest,17,90,88.001,0.001,78.484,85,88.001,90,interpolated
89,formation_4_mid_light,25,45,88.996,0.004,88.996,45,113.03,50,interpolated
90,formation_7_higher_light,25,27,90.012,0.012,82.466,25,101.33,30,interpolated
91,headlight_formation_lowest,34,80,90.996,0.004,90.996,80,104.3,85,interpolated
92,formation_4_mid_light,47,43,91.988,0.012,75.125,40,103.23,45,interpolated
93,formation_5_midhigh_light,46,37,92.999,0.001,74.845,35,120.23,40,interpolated
94,formation_7_higher_light,33,27,93.999,0.001,86.111,25,105.83,30,interpolated
95,headlight_formation_lowest,16,95,94.99,0.01,94.99,95,106.95,100,interpolated
96,formation_4_mid_light,34,45,95.998,0.002,95.998,45,122.17,50,interpolated
97,formation_6_high_light,38,32,97.022,0.022,75.99,30,128.57,35,interpolated
98,formation_4_mid_light,37,45,98.003,0.003,71.484,40,98.003,45,interpolated
99,formation_3_midlow_light,10,77,99.004,0.004,93.294,75,107.57,80,interpolated
100,formation_3_midlow_light,15,70,99.998,0.002,99.998,70,118.99,75,interpolated
101,headlight_formation_lowest,15,99,100.999,0.001,91.877,95,103.28,100,interpolated
102,formation_7_higher_light,26,30,102.0,0.0,83.031,25,102.0,30,interpolated
103,formation_3_midlow_light,39,62,103.018,0.018,96.037,60,113.49,65,interpolated
104,formation_6_high_light,13,36,104.002,0.002,93.548,35,145.82,40,interpolated
105,headlight_formation_lowest,32,86,105.002,0.002,102.41,85,115.37,90,interpolated
106,formation_6_high_light,35,33,106.008,0.008,75.091,30,126.62,35,interpolated
107,headlight_formation_lowest,25,90,106.99,0.01,106.99,90,118.8,95,interpolated
108,formation_4_mid_light,45,46,108.002,0.002,102.35,45,130.61,50,interpolated
109,formation_7_higher_light,10,34,109.008,0.008,73.56,30,117.87,35,interpolated
110,formation_3_midlow_light,39,64,109.999,0.001,96.037,60,113.49,65,interpolated
111,formation_6_high_light,4,47,111.014,0.014,101.07,45,125.93,50,interpolated
112,formation_4_mid_light,12,59,112.007,0.007,98.273,55,115.44,60,interpolated
113,formation_5_midhigh_light,25,41,113.0,0.0,105.22,40,144.12,45,interpolated
114,formation_3_midlow_light,11,80,114.0,0.0,98.685,75,114.0,80,interpolated
115,formation_6_high_light,33,34,114.999,0.001,74.353,30,125.16,35,interpolated
116,formation_6_high_light,4,48,115.986,0.014,101.07,45,125.93,50,interpolated
117,formation_5_midhigh_light,4,66,117.006,0.006,113.06,65,132.79,70,interpolated
118,formation_5_midhigh_light,42,40,118.01,0.01,73.699,35,118.01,40,interpolated
119,formation_3_midlow_light,15,75,118.99,0.01,118.99,75,138.1,80,interpolated
120,formation_3_midlow_light,12,80,120.02,0.02,103.77,75,120.02,80,interpolated
121,formation_3_midlow_light,29,68,120.994,0.006,105.07,65,131.61,70,interpolated
122,formation_5_midhigh_light,26,42,122.008,0.008,106.24,40,145.66,45,interpolated
123,formation_4_mid_light,42,49,123.01,0.01,100.85,45,128.55,50,interpolated
124,formation_4_mid_light,20,55,124.0,0.0,102.15,50,124.0,55,interpolated
125,headlight_formation_lowest,22,100,125.0,0.0,110.34,95,125.0,100,interpolated
126,formation_4_mid_light,9,67,126.0,0.0,115.98,65,141.03,70,interpolated
127,formation_4_mid_light,40,50,127.0,0.0,99.709,45,127.0,50,interpolated
128,formation_6_high_light,37,35,128.04,0.04,75.73,30,128.04,35,interpolated
129,formation_3_midlow_light,27,70,129.0,0.0,103.09,65,129.0,70,interpolated
130,formation_5_midhigh_light,20,45,130.01,0.01,95.162,40,130.01,45,interpolated
131,formation_4_mid_light,38,51,130.998,0.002,125.52,50,152.91,55,interpolated
132,headlight_formation_lowest,32,96,132.004,0.004,128.42,95,146.34,100,interpolated
133,formation_5_midhigh_light,16,47,133.004,0.004,120.12,45,152.33,50,interpolated
134,formation_4_mid_light,30,53,133.996,0.004,118.57,50,144.28,55,interpolated
135,formation_4_mid_light,23,56,134.94,0.06,130.34,55,153.34,60,interpolated
136,formation_4_mid_light,8,71,136.006,0.006,131.46,70,154.19,75,interpolated
137,formation_3_midlow_light,39,69,136.978,0.022,113.49,65,142.85,70,interpolated
138,formation_3_midlow_light,8,98,137.98,0.02,129.52,95,143.62,100,interpolated
139,formation_7_higher_light,19,34,138.979,0.021,90.654,30,151.06,35,interpolated
140,formation_4_mid_light,15,62,140.004,0.004,130.94,60,153.6,65,interpolated
141,formation_7_higher_light,6,40,140.99,0.01,140.99,40,188.58,45,interpolated
142,formation_4_mid_light,45,52,141.978,0.022,130.61,50,159.03,55,interpolated
143,formation_3_midlow_light,12,87,142.972,0.028,136.44,85,152.77,90,interpolated
144,formation_4_mid_light,26,56,144.01,0.01,139.08,55,163.73,60,interpolated
145,headlight_formation_lowest,48,95,145.0,0.0,130.21,90,145.0,95,interpolated
146,formation_3_midlow_light,25,74,145.98,0.02,125.82,70,151.02,75,interpolated
147,formation_4_mid_light,44,53,147.004,0.004,130.03,50,158.32,55,interpolated
148,formation_3_midlow_light,14,84,148.046,0.046,133.39,80,151.71,85,interpolated
149,formation_4_mid_light,7,77,149.012,0.012,140.88,75,161.21,80,interpolated
150,formation_6_high_light,11,42,149.984,0.016,131.46,40,177.77,45,interpolated
151,formation_4_mid_light,42,54,150.998,0.002,128.55,50,156.61,55,interpolated
152,formation_3_midlow_light,32,73,151.97,0.03,135.59,70,162.89,75,interpolated
153,formation_4_mid_light,33,56,153.016,0.016,147.78,55,173.96,60,interpolated
154,formation_3_midlow_light,11,93,154.074,0.074,144.84,90,160.23,95,interpolated
155,formation_3_midlow_light,24,77,154.966,0.034,145.35,75,169.39,80,interpolated
156,formation_3_midlow_light,47,71,156.006,0.006,149.83,70,180.71,75,interpolated
157,formation_7_higher_light,15,36,156.984,0.016,140.8,35,221.72,40,interpolated
158,formation_3_midlow_light,26,76,157.986,0.014,152.92,75,178.25,80,interpolated
159,formation_4_mid_light,5,91,158.996,0.004,155.98,90,171.06,95,interpolated
160,formation_7_higher_light,6,42,160.026,0.026,140.99,40,188.58,45,interpolated
161,formation_5_midhigh_light,40,45,161.01,0.01,116.86,40,161.01,45,interpolated
162,formation_4_mid_light,5,92,162.012,0.012,155.98,90,171.06,95,interpolated
163,formation_3_midlow_light,48,72,163.0,0.0,150.56,70,181.66,75,interpolated
164,formation_3_midlow_light,11,96,163.988,0.012,160.23,95,179.02,100,interpolated
165,formation_7_higher_light,33,34,164.998,0.002,105.83,30,179.79,35,interpolated
166,formation_3_midlow_light,20,82,165.996,0.004,157.2,80,179.19,85,interpolated
167,formation_6_high_light,30,38,166.978,0.022,122.89,35,196.37,40,interpolated
168,formation_7_higher_light,36,34,168.004,0.004,107.54,30,183.12,35,interpolated
169,formation_5_midhigh_light,39,46,168.99,0.01,160.23,45,204.03,50,interpolated
170,formation_3_midlow_light,16,87,169.974,0.026,162.17,85,181.68,90,interpolated
171,formation_4_mid_light,9,76,171.014,0.014,166.07,75,190.79,80,interpolated
172,formation_6_high_light,17,41,171.996,0.004,160.3,40,218.78,45,interpolated
173,formation_5_midhigh_light,23,50,172.98,0.02,172.98,50,210.22,55,interpolated
174,formation_5_midhigh_light,29,48,174.02,0.02,149.54,45,190.34,50,interpolated
175,formation_5_midhigh_light,46,46,174.982,0.018,165.84,45,211.55,50,interpolated
176,formation_3_midlow_light,23,82,176.018,0.018,166.63,80,190.1,85,interpolated
177,formation_4_mid_light,46,58,176.958,0.042,159.87,55,188.35,60,interpolated
178,formation_4_mid_light,12,72,178.01,0.01,165.85,70,196.25,75,interpolated
179,formation_5_midhigh_light,27,49,178.994,0.006,147.13,45,186.96,50,interpolated
180,formation_6_high_light,43,38,179.96,0.04,131.69,35,212.14,40,interpolated
181,formation_3_midlow_light,30,79,181.036,0.036,159.78,75,186.35,80,interpolated
182,formation_4_mid_light,15,69,181.968,0.032,153.6,65,189.06,70,interpolated
183,formation_3_midlow_light,21,85,183.01,0.01,160.54,80,183.01,85,interpolated
184,formation_3_midlow_light,35,78,183.94,0.06,167.11,75,195.16,80,interpolated
185,formation_3_midlow_light,40,77,185.0,0.0,173.22,75,202.67,80,interpolated
186,formation_4_mid_light,8,82,186.024,0.024,176.88,80,199.74,85,interpolated
187,formation_4_mid_light,26,64,186.97,0.03,163.73,60,192.78,65,interpolated
188,formation_3_midlow_light,20,87,187.994,0.006,179.19,85,201.2,90,interpolated
189,formation_5_midhigh_light,7,69,188.968,0.032,162.72,65,195.53,70,interpolated
190,formation_3_midlow_light,13,97,189.99,0.01,181.19,95,203.19,100,interpolated
191,formation_4_mid_light,49,60,190.96,0.04,190.96,60,225.86,65,interpolated
192,formation_3_midlow_light,46,77,192.01,0.01,179.75,75,210.4,80,interpolated
193,formation_7_higher_light,49,35,193.03,0.03,112.18,30,193.03,35,interpolated
194,formation_7_higher_light,27,36,194.014,0.014,173.17,35,277.39,40,interpolated
195,formation_3_midlow_light,15,95,195.02,0.02,175.97,90,195.02,95,interpolated
196,formation_4_mid_light,47,61,196.022,0.022,189.07,60,223.83,65,interpolated
197,formation_4_mid_light,14,72,197.004,0.004,183.28,70,217.59,75,interpolated
198,formation_4_mid_light,42,62,197.99,0.01,184.49,60,218.24,65,interpolated
199,formation_3_midlow_light,17,93,198.984,0.016,186.78,90,207.12,95,interpolated
200,formation_4_mid_light,25,66,199.974,0.026,190.56,65,237.63,70,interpolated
201,formation_3_midlow_light,27,84,201.008,0.008,180.4,80,206.16,85,interpolated
202,formation_4_mid_light,16,71,202.002,0.002,194.59,70,231.65,75,interpolated
203,formation_7_higher_light,34,36,203.022,0.022,180.91,35,291.47,40,interpolated
204,formation_5_midhigh_light,39,50,204.03,0.03,160.23,45,204.03,50,interpolated
205,formation_6_high_light,12,47,205.01,0.01,185.27,45,234.62,50,interpolated
206,formation_6_high_light,27,41,205.992,0.008,191.66,40,263.32,45,interpolated
207,formation_5_midhigh_light,13,61,207.024,0.024,200.12,60,234.64,65,interpolated
208,formation_3_midlow_light,44,80,208.02,0.02,177.57,75,208.02,80,interpolated
209,formation_4_mid_light,46,63,208.99,0.01,188.35,60,222.75,65,interpolated
210,formation_4_mid_light,11,79,210.022,0.022,186.79,75,215.83,80,interpolated
211,formation_3_midlow_light,25,87,211.0,0.0,200.9,85,226.15,90,interpolated
212,formation_4_mid_light,18,71,211.978,0.022,204.09,70,243.53,75,interpolated
213,formation_5_midhigh_light,39,51,212.98,0.02,204.03,50,248.78,55,interpolated
214,formation_4_mid_light,39,65,214.0,0.0,181.27,60,214.0,65,interpolated
215,formation_5_midhigh_light,34,52,215.054,0.054,197.73,50,241.04,55,interpolated
216,formation_3_midlow_light,34,84,216.01,0.01,193.37,80,221.67,85,interpolated
217,formation_4_mid_light,41,65,217.01,0.01,183.35,60,217.01,65,interpolated
218,formation_3_midlow_light,47,81,218.032,0.032,211.77,80,243.08,85,interpolated
219,formation_4_mid_light,35,66,218.996,0.004,208.47,65,261.1,70,interpolated
220,formation_6_high_light,36,41,219.948,0.052,204.5,40,281.74,45,interpolated
221,formation_4_mid_light,9,86,220.974,0.026,215.96,85,241.03,90,interpolated
222,formation_3_midlow_light,16,99,222.01,0.01,201.37,95,227.17,100,interpolated
223,formation_5_midhigh_light,4,93,222.998,0.002,211.1,90,230.93,95,interpolated
224,formation_3_midlow_light,30,87,223.996,0.004,213.16,85,240.25,90,interpolated
225,formation_5_midhigh_light,16,61,224.988,0.012,217.45,60,255.14,65,interpolated
226,formation_7_higher_light,13,41,226.004,0.004,210.72,40,287.14,45,interpolated
227,formation_5_midhigh_light,4,94,226.964,0.036,211.1,90,230.93,95,interpolated
228,formation_7_higher_light,36,37,228.024,0.024,183.12,35,295.38,40,interpolated
229,formation_5_midhigh_light,45,52,229.0,0.0,210.5,50,256.75,55,interpolated
230,formation_5_midhigh_light,17,61,230.006,0.006,222.3,60,260.83,65,interpolated
231,formation_4_mid_light,9,88,231.002,0.002,215.96,85,241.03,90,interpolated
232,formation_4_mid_light,15,76,231.978,0.022,224.91,75,260.25,80,interpolated
233,formation_5_midhigh_light,49,52,233.006,0.006,214.19,50,261.23,55,interpolated
234,formation_5_midhigh_light,10,69,234.008,0.008,199.16,65,242.72,70,interpolated
235,formation_5_midhigh_light,7,76,235.008,0.008,228.48,75,261.12,80,interpolated
236,formation_5_midhigh_light,50,52,236.012,0.012,217.14,50,264.32,55,interpolated
237,formation_5_midhigh_light,44,53,237.018,0.018,209.49,50,255.37,55,interpolated
238,formation_3_midlow_light,48,84,237.998,0.002,212.79,80,244.3,85,interpolated
239,formation_6_high_light,22,45,238.99,0.01,238.99,45,304.05,50,interpolated
240,formation_3_midlow_light,28,91,239.954,0.046,234.8,90,260.57,95,interpolated
241,formation_4_mid_light,9,90,241.03,0.03,215.96,85,241.03,90,interpolated
242,formation_6_high_light,41,42,242.01,0.01,210.07,40,289.92,45,interpolated
243,formation_3_midlow_light,47,85,243.08,0.08,211.77,80,243.08,85,interpolated
244,formation_3_midlow_light,23,96,244.022,0.022,237.69,95,269.35,100,interpolated
245,formation_4_mid_light,32,69,245.002,0.002,203.89,65,255.28,70,interpolated
246,formation_5_midhigh_light,37,55,246.0,0.0,201.73,50,246.0,55,interpolated
247,formation_7_higher_light,10,45,246.98,0.02,246.98,45,312.29,50,interpolated
248,formation_4_mid_light,48,67,247.994,0.006,224.85,65,282.71,70,interpolated
249,formation_6_high_light,27,44,248.988,0.012,191.66,40,263.32,45,interpolated
250,formation_6_high_light,48,42,250.0,0.0,216.98,40,299.53,45,interpolated
251,formation_7_higher_light,22,40,251.0,0.0,157.33,35,251.0,40,interpolated
252,formation_6_high_light,22,46,252.002,0.002,238.99,45,304.05,50,interpolated
253,formation_5_midhigh_light,36,56,252.976,0.024,244.28,55,287.76,60,interpolated
254,formation_6_high_light,17,48,253.994,0.006,218.78,45,277.47,50,interpolated
255,formation_4_mid_light,24,73,255.016,0.016,228.16,70,272.92,75,interpolated
256,formation_3_midlow_light,40,89,256.05,0.05,232.49,85,261.94,90,interpolated
257,formation_7_higher_light,5,55,257.03,0.03,212.94,50,257.03,55,interpolated
258,formation_6_high_light,41,43,257.98,0.02,210.07,40,289.92,45,interpolated
259,formation_4_mid_light,34,70,259.0,0.0,206.71,65,259.0,70,interpolated
260,formation_5_midhigh_light,48,55,260.01,0.01,213.25,50,260.01,55,interpolated
261,formation_6_high_light,21,47,260.972,0.028,235.48,45,299.21,50,interpolated
262,formation_5_midhigh_light,42,56,261.96,0.04,252.92,55,298.12,60,interpolated
263,formation_3_midlow_light,23,99,263.018,0.018,237.69,95,269.35,100,interpolated
264,formation_4_mid_light,50,68,264.0,0.0,228.66,65,287.56,70,interpolated
265,formation_6_high_light,22,47,265.014,0.014,238.99,45,304.05,50,interpolated
266,formation_5_midhigh_light,45,56,265.992,0.008,256.75,55,302.96,60,interpolated
267,formation_5_midhigh_light,16,66,266.952,0.048,255.14,65,314.2,70,interpolated
268,formation_5_midhigh_light,27,60,268.03,0.03,227.66,55,268.03,60,interpolated
269,formation_5_midhigh_light,24,62,268.95,0.05,251.35,60,295.35,65,interpolated
270,formation_6_high_light,30,45,270.09,0.09,196.37,40,270.09,45,interpolated
271,formation_5_midhigh_light,42,57,271.0,0.0,252.92,55,298.12,60,interpolated
272,formation_6_high_light,5,69,272.036,0.036,237.06,65,280.78,70,interpolated
273,formation_5_midhigh_light,17,66,273.0,0.0,260.83,65,321.68,70,interpolated
274,formation_6_high_light,41,44,273.95,0.05,210.07,40,289.92,45,interpolated
275,formation_7_higher_light,26,40,275.01,0.01,171.78,35,275.01,40,interpolated
276,formation_6_high_light,33,45,276.07,0.07,200.52,40,276.07,45,interpolated
277,formation_5_midhigh_light,10,74,277.056,0.056,242.72,70,285.64,75,interpolated
278,formation_6_high_light,44,44,278.002,0.002,213.17,40,294.21,45,interpolated
279,formation_5_midhigh_light,8,79,279.05,0.05,249.85,75,286.35,80,interpolated
280,formation_4_mid_light,46,70,280.0,0.0,222.75,65,280.0,70,interpolated
281,formation_5_midhigh_light,7,83,280.986,0.014,261.12,80,294.23,85,interpolated
282,formation_3_midlow_light,28,98,282.02,0.02,260.57,95,296.32,100,interpolated
283,formation_6_high_light,7,64,283.016,0.016,250.56,60,291.13,65,interpolated
284,formation_5_midhigh_light,5,96,283.994,0.006,278.72,95,305.09,100,interpolated
285,formation_6_high_light,38,45,285.04,0.04,206.71,40,285.04,45,interpolated
286,formation_6_high_light,24,48,285.94,0.06,245.68,45,312.78,50,interpolated
287,formation_4_mid_light,20,79,286.98,0.02,250.06,75,296.21,80,interpolated
288,formation_4_mid_light,12,90,288.03,0.03,257.62,85,288.03,90,interpolated
289,formation_3_midlow_light,30,98,288.996,0.004,266.85,95,303.76,100,interpolated
290,formation_4_mid_light,45,71,289.946,0.054,278.45,70,335.93,75,interpolated
291,formation_4_mid_light,24,77,290.992,0.008,272.92,75,318.1,80,interpolated
292,formation_5_midhigh_light,44,59,292.05,0.05,255.37,55,301.22,60,interpolated
293,formation_3_midlow_light,34,97,293.006,0.006,277.47,95,316.31,100,interpolated
294,formation_5_midhigh_light,34,61,293.944,0.056,283.71,60,334.88,65,interpolated
295,formation_5_midhigh_light,30,62,294.968,0.032,275.26,60,324.53,65,interpolated
296,formation_6_high_light,10,59,296.014,0.014,259.59,55,305.12,60,interpolated
297,formation_4_mid_light,19,81,297.016,0.016,288.87,80,329.6,85,interpolated
298,formation_4_mid_light,10,97,298.014,0.014,284.69,95,318.0,100,interpolated
299,formation_5_midhigh_light,49,59,298.926,0.074,261.23,55,308.35,60,interpolated
300,formation_7_higher_light,39,40,300.01,0.01,185.73,35,300.01,40,interpolated
301,formation_6_high_light,49,45,301.02,0.02,217.79,40,301.02,45,interpolated
302,formation_5_midhigh_light,11,75,301.99,0.01,301.99,75,347.95,80,interpolated
303,formation_7_higher_light,21,43,303.002,0.002,247.64,40,339.91,45,interpolated
304,formation_3_midlow_light,42,96,304.03,0.03,295.62,95,337.67,100,interpolated
305,formation_5_midhigh_light,5,100,305.09,0.09,278.72,95,305.09,100,interpolated
306,formation_6_high_light,41,46,305.99,0.01,289.92,45,370.27,50,interpolated
307,formation_4_mid_light,29,76,307.004,0.004,297.1,75,346.62,80,interpolated
308,formation_3_midlow_light,40,97,307.978,0.022,291.37,95,332.89,100,interpolated
309,formation_6_high_light,43,46,308.99,0.01,292.76,45,373.91,50,interpolated
310,formation_5_midhigh_light,6,93,310.02,0.02,292.53,90,321.68,95,interpolated
311,formation_3_midlow_light,38,98,311.068,0.068,286.72,95,327.3,100,interpolated
312,formation_7_higher_light,12,48,312.008,0.008,268.85,45,340.78,50,interpolated
313,formation_4_mid_light,23,80,312.99,0.01,312.99,80,356.85,85,interpolated
314,formation_4_mid_light,35,75,313.93,0.07,313.93,75,366.53,80,interpolated
315,formation_6_high_light,47,46,314.876,0.124,298.26,45,381.34,50,interpolated
316,formation_5_midhigh_light,8,84,316.014,0.014,286.35,80,323.43,85,interpolated
317,formation_5_midhigh_light,20,68,316.992,0.008,277.41,65,343.38,70,interpolated
318,formation_4_mid_light,10,100,318.0,0.0,284.69,95,318.0,100,interpolated
319,formation_4_mid_light,12,95,319.0,0.0,288.03,90,319.0,95,interpolated
320,formation_5_midhigh_light,32,64,320.038,0.038,279.67,60,330.13,65,interpolated
321,formation_5_midhigh_light,37,63,320.99,0.01,289.64,60,341.89,65,interpolated
322,formation_4_mid_light,18,85,322.03,0.03,282.47,80,322.03,85,interpolated
323,formation_7_higher_light,39,41,323.008,0.008,300.01,40,415.0,45,interpolated
324,formation_5_midhigh_light,24,67,324.002,0.002,295.35,65,366.98,70,interpolated
325,formation_6_high_light,21,52,325.062,0.062,299.21,50,363.84,55,interpolated
326,formation_4_mid_light,26,79,326.02,0.02,287.7,75,335.6,80,interpolated
327,formation_6_high_light,9,64,327.0,0.0,288.4,60,336.65,65,interpolated
328,formation_5_midhigh_light,6,96,328.046,0.046,321.68,95,353.51,100,interpolated
329,formation_5_midhigh_light,14,73,328.906,0.094,296.08,70,350.79,75,interpolated
330,formation_3_midlow_light,50,97,329.938,0.062,312.25,95,356.47,100,interpolated
331,formation_3_midlow_light,47,98,331.076,0.076,305.18,95,348.34,100,interpolated
332,formation_4_mid_light,15,90,331.94,0.06,331.94,90,367.31,95,interpolated
333,formation_6_high_light,48,47,332.838,0.162,299.53,45,382.8,50,interpolated
334,formation_5_midhigh_light,7,91,333.996,0.004,327.43,90,360.26,95,interpolated
